2ID	IID	sex
61512	61512	1
61513	61513	2
61514	61514	1
61515	61515	1
61516	61516	1
61517	61517	2
61518	61518	1
61519	61519	1
61520	61520	1
61521	61521	2
61522	61522	2
61523	61523	2
61524	61524	2
61525	61525	2
61526	61526	1
61527	61527	2
61528	61528	1
61529	61529	1
61530	61530	1
61531	61531	2
61532	61532	2
61533	61533	2
61534	61534	2
61535	61535	1
61536	61536	1
61537	61537	2
61538	61538	1
61539	61539	2
61540	61540	1
61541	61541	0
61542	61542	1
61543	61543	1
61544	61544	1
61545	61545	1
61546	61546	1
61547	61547	1
61548	61548	2
61549	61549	1
61550	61550	1
61551	61551	2
61552	61552	1
61553	61553	2
61554	61554	2
61555	61555	2
61556	61556	1
61557	61557	2
61558	61558	2
61559	61559	1
61560	61560	2
61561	61561	2
61562	61562	1
61563	61563	1
61564	61564	1
61565	61565	2
61566	61566	2
61567	61567	1
61568	61568	2
61569	61569	2
61570	61570	2
61571	61571	2
61572	61572	2
61573	61573	1
61574	61574	1
61575	61575	1
61576	61576	2
61577	61577	1
61578	61578	1
61579	61579	1
61580	61580	1
61581	61581	2
61582	61582	2
61583	61583	1
61584	61584	1
61585	61585	2
61586	61586	0
61587	61587	1
61588	61588	1
61589	61589	2
61590	61590	2
61591	61591	1
61592	61592	1
61593	61593	1
61594	61594	1
61595	61595	1
61596	61596	2
61597	61597	2
61598	61598	2
61599	61599	1
61600	61600	1
61601	61601	2
61602	61602	1
61603	61603	1
61604	61604	1
61605	61605	2
61606	61606	2
61607	61607	1
61608	61608	2
61609	61609	1
61610	61610	2
61611	61611	2
61612	61612	2
61613	61613	1
61614	61614	0
61615	61615	2
61616	61616	2
61617	61617	2
61618	61618	1
61619	61619	2
61620	61620	2
61621	61621	2
61622	61622	1
61623	61623	1
61624	61624	2
61625	61625	2
61626	61626	2
61627	61627	2
61628	61628	1
61629	61629	1
61630	61630	2
61631	61631	2
61632	61632	1
61633	61633	1
61634	61634	1
61635	61635	2
61636	61636	1
61637	61637	1
61638	61638	2
61639	61639	1
61640	61640	1
61641	61641	2
61642	61642	2
61643	61643	2
61644	61644	2
61645	61645	2
61646	61646	2
61647	61647	2
61648	61648	2
61649	61649	1
61650	61650	1
61651	61651	2
61652	61652	1
61653	61653	2
61654	61654	1
61655	61655	2
61656	61656	2
61657	61657	2
61658	61658	2
61659	61659	2
61660	61660	1
61661	61661	2
61662	61662	1
61663	61663	2
61664	61664	1
61665	61665	1
61666	61666	1
61667	61667	2
61668	61668	1
61669	61669	2
61670	61670	2
61671	61671	2
61672	61672	2
61673	61673	2
61674	61674	1
61675	61675	1
61676	61676	0
61677	61677	1
61678	61678	0
61679	61679	2
61680	61680	1
61681	61681	1
61682	61682	1
61683	61683	2
61684	61684	1
61685	61685	1
61686	61686	1
61687	61687	1
61688	61688	1
61689	61689	2
61690	61690	2
61691	61691	2
61692	61692	2
61693	61693	1
61694	61694	2
61695	61695	2
61696	61696	2
61697	61697	2
61698	61698	1
61699	61699	1
61700	61700	1
61701	61701	2
61702	61702	2
61703	61703	2
61704	61704	1
61705	61705	2
61706	61706	2
61707	61707	2
61708	61708	1
61709	61709	2
61710	61710	2
61711	61711	2
61712	61712	2
61713	61713	1
61714	61714	2
61715	61715	1
61716	61716	2
61717	61717	1
61718	61718	1
61719	61719	2
61720	61720	1
61721	61721	1
61722	61722	1
61723	61723	2
61724	61724	1
61725	61725	1
61726	61726	1
61727	61727	1
61728	61728	2
61729	61729	2
61730	61730	2
61731	61731	2
61732	61732	2
61733	61733	2
61734	61734	1
61735	61735	1
61736	61736	1
61737	61737	1
61738	61738	2
61739	61739	2
61740	61740	2
61741	61741	1
61742	61742	2
61743	61743	2
61744	61744	1
61745	61745	0
61746	61746	1
61747	61747	2
61748	61748	1
61749	61749	2
61750	61750	1
61751	61751	1
61752	61752	2
61753	61753	2
61754	61754	1
61755	61755	1
61756	61756	2
61757	61757	2
61758	61758	0
61759	61759	1
